D0,D1,D2,Power_W,Irms_A,Efficiency_%,Mode
0.180000000001,0.340000000001,0.08000000000100001,172.93253518141663,497512.4370647019,3.493323675208512e-07,1.0
0.30000000000099997,0.620000000001,0.160000000001,264.149696595241,497512.43646756874,5.335955946415895e-07,1.0
0.42000000000099996,0.860000000001,0.220000000001,363.91846689165294,497512.4359454946,7.35133499153119e-07,1.0
0.500000000001,0.980000000001,0.240000000001,461.78687965864765,497512.43567125296,9.328325855765031e-07,1.0
0.42000000000099996,0.560000000001,0.10000000000100001,512.7164614482441,497512.4364676723,1.035712882814319e-06,1.0
0.500000000001,0.740000000001,0.14000000000100002,609.4446596975274,1492537.3128605883,1.3678985378688746e-07,1.0
0.540000000001,0.760000000001,0.14000000000100002,686.0290681346206,497512.43601985474,1.3858130098586716e-06,1.0
0.5800000000009999,0.780000000001,0.14000000000100002,765.2739771129516,497512.4359452875,1.545891685163308e-06,1.0
0.660000000001,0.9600000000009999,0.180000000001,869.9836769859479,1492537.312686529,1.9526783611347853e-07,1.0
0.700000000001,0.980000000001,0.180000000001,958.3503021056653,497512.4354974699,1.9359155082952053e-06,1.0
0.720000000001,0.920000000001,0.160000000001,1036.0749250604504,1990049.750684003,1.308076969255055e-07,1.0
0.760000000001,0.940000000001,0.160000000001,1127.8621937331877,2985074.62648014,6.328716732214831e-08,1.0
0.800000000001,0.980000000001,0.160000000001,1219.079355147088,5311979.229640298,2.1601765360021744e-08,1.0
0.820000000001,0.9600000000009999,0.120000000001,1308.3961590315903,11518245.674316045,4.931018024194567e-09,1.0
0.860000000001,0.980000000001,0.10000000000100001,1426.5983973637963,14496320.680846004,3.3943463987395116e-09,1.0
0.880000000001,0.980000000001,0.08000000000100001,1497.2916974595964,16664810.173504313,2.695725573438386e-09,1.0
0.900000000001,0.980000000001,0.060000000000999996,1568.745140567179,18674949.630904328,2.2490728326141066e-09,1.0
0.940000000001,0.980000000001,0.020000000001,1713.9324558176909,22388059.70143891,1.7097428431268725e-09,1.0
0.9600000000009999,0.980000000001,1e-12,1787.6663279606196,24138327.304842204,1.53405920380473e-09,1.0
